total ratings,growth (30 days),growth (60 days),price,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,average rating
403260,0.4,0.7,0,297701,67830,20540,4800,12386,4.57
403260,0.4,0.7,0,241434,65691,20182,7769,17376,4.57
373546,0.2,0.4,0,279434,46745,11603,5876,29884,4.45
352455,0.1,0.2,0,297701,67830,20540,4800,12386,4.44
352455,0.1,0.2,0,241434,65691,20182,7769,17376,4.44
350038,0.1,0.2,0,257688,35649,17769,7549,31379,4.37
337359,0.2,0.3,0,226350,33959,12165,8180,56702,4.08
323117,0.2,0.9,0,183861,41538,23752,9892,64071,3.84
312718,0.1,0.3,0,245984,49788,9036,2286,5621,4.69
311766,0,0.1,0,205329,59547,18575,7013,21299,4.35
307278,3.6,11.2,0,256974,32056,10423,2561,5261,4.73
305932,2.7,6.2,0,242077,41812,8352,3343,10346,4.64
303103,0.4,1,0,237226,24629,11782,6338,23126,4.47
289395,0.1,0.3,0,182578,41909,20389,10034,34482,4.13
281205,0.8,1.8,0,181358,27280,18064,11478,43023,4.04
261850,0.3,0.6,0,174842,36811,18560,8567,23068,4.27
258162,1.1,2.2,0,185646,26731,10004,5815,29963,4.29
250885,7.2,14.3,0,213020,11499,6601,3106,16657,4.6
243349,7.1,23,0,200960,15474,10562,4523,11827,4.6
243022,0.5,1.2,0,158710,26096,11836,6062,40315,4.06
237290,0.5,1,0,154997,28244,14716,7348,31983,4.12
229621,0.3,0.7,0,151592,29078,11161,5684,32104,4.14
227750,0.7,1.5,0,166986,43722,8461,2424,6156,4.59
224406,0.1,0.3,0,153066,44243,13048,4969,9078,4.46
219712,2,4.2,0,172564,27565,9081,3057,7443,4.61
207711,0.9,2.3,0,140865,13924,11882,7214,33824,4.06
202266,0.1,0.2,0,146008,24164,8008,4179,19905,4.35
201275,2,4.3,0,167188,13872,6881,3545,9787,4.62
198472,2.4,5.4,0,150157,28419,11648,3113,5132,4.59
187720,1.1,2.3,0,115303,19763,10016,6767,35868,3.92
177043,90.9,0,0,121849,34906,10273,3117,6895,4.48
173896,0.2,0.5,0,97021,13857,10667,6218,46130,3.63
173053,1.4,3.2,0,131365,20319,7452,4075,9839,4.5
172214,0.2,0.4,0,135829,21802,6771,2217,5592,4.63
172214,0.2,0.4,0,121654,32118,6419,1279,3109,4.63
172214,0.2,0.4,0,120414,24300,4744,1166,2870,4.63
170795,0,0.1,0,112217,21021,10406,6267,20882,4.16
164582,0,0.1,0,135829,21802,6771,2217,5592,4.63
164582,0,0.1,0,121654,32118,6419,1279,3109,4.63
164582,0,0.1,0,120414,24300,4744,1166,2870,4.63
163407,0.1,0.2,0,123647,22528,8705,2558,5966,4.56
161525,3.2,7.3,0,108705,32225,10481,3267,6844,4.44
155284,0.2,0.6,0,117610,10123,6545,3872,17131,4.33
153496,3.9,6.7,0,135829,21802,6771,2217,5592,4.68
153496,3.9,6.7,0,121654,32118,6419,1279,3109,4.68
153496,3.9,6.7,0,120414,24300,4744,1166,2870,4.68
152574,1,1.8,0,113812,23950,7325,2352,5132,4.57
151637,0.1,0.3,0,102146,25728,12919,2965,7877,4.39
148955,1.8,3.8,0,123486,9793,5810,2535,7327,4.61
148422,2.1,3.4,0,123397,16423,3836,1405,3358,4.72
148368,1.9,4,0,134222,7688,2384,1132,2940,4.81
146504,0.1,0.2,2.99,108627,25330,5696,2743,4105,4.58
143401,0.1,0.2,0,86241,19241,9740,5699,22478,3.98
143241,1.3,2.6,0,113139,19002,5459,1626,4012,4.64
139406,0.5,1.1,0,103974,22432,6574,1613,4811,4.57
139406,0.5,1.1,0,92957,20349,4987,1306,3760,4.57
138404,1.8,4.1,0,111502,14062,5380,2108,5350,4.62
136809,0.2,0.6,0,91660,18580,10991,3630,11946,4.27
136246,1.2,3.2,0,115261,11793,3907,1325,3957,4.71
135924,0.2,0.6,0,101860,25175,4034,1378,3475,4.62
127611,0,0.1,0,97334,11624,5407,3598,9645,4.44
127589,0,0,0,76270,26367,12236,3600,9114,4.23
126103,0.3,0.6,0,82726,19790,9530,3686,10369,4.28
123361,1.2,2.6,0,103974,22432,6574,1613,4811,4.6
123361,1.2,2.6,0,92957,20349,4987,1306,3760,4.6
118878,1.3,2.5,0,83916,13702,6546,3118,11593,4.31
116742,0,0,0,71102,19586,9803,2838,13411,4.13
116242,0.6,0.5,0,58449,17142,13257,6354,21037,3.74
113673,4.6,10.3,0,77547,12718,5694,5245,12468,4.21
113579,0,0.1,0,63094,32072,11980,1960,4470,4.3
113285,0.2,0.6,0,75164,15699,7670,2802,11948,4.23
113155,0.2,0.4,0,84000,12556,4172,2046,10380,4.39
111685,1.6,3.4,0,63580,31441,10061,2034,4567,4.32
107496,0.3,0.6,0,67556,14098,8377,3165,14298,4.09
106005,0.2,0.5,0,68699,14918,7598,3874,10914,4.19
105591,1,2.7,0,62320,14376,7997,3364,17531,3.95
105515,0.7,1.4,0,93175,6607,2388,1084,2258,4.78
105501,0.4,0.9,0,80062,17295,3387,1438,3317,4.61
103645,0.2,0.4,0,66055,25439,6754,1688,3706,4.43
101296,2.9,8.4,0,74275,13505,4405,1644,7465,4.44
100602,0.3,0.3,0,69721,20324,5572,1248,3735,4.5
98731,1.6,3.2,0,66082,14577,8338,2855,6875,4.32
98416,0.5,1,0,65524,11878,5610,4452,10950,4.18
98416,0.5,1,0,82855,7921,2670,1141,3146,4.18
98416,0.5,1,0,78790,5954,1902,956,2425,4.18
97735,3.9,7.8,0,65524,11878,5610,4452,10950,4.7
97735,3.9,7.8,0,82855,7921,2670,1141,3146,4.7
97735,3.9,7.8,0,78790,5954,1902,956,2425,4.7
95738,0.8,1.7,0,67982,20921,3342,1346,2145,4.58
94249,2.1,4.5,0,70322,13475,5430,1726,3294,4.55
93910,0.1,0.2,0,66945,9827,9038,2059,6038,4.38
91638,0,0.1,0,59868,16329,6839,2379,6219,4.32
90588,0,0,0,56325,19524,8896,2109,3731,4.35
90029,11.8,27.5,0,65524,11878,5610,4452,10950,4.75
90029,11.8,27.5,0,82855,7921,2670,1141,3146,4.75
90029,11.8,27.5,0,78790,5954,1902,956,2425,4.75
2563915,0.3,0.7,0,1814947,300825,110222,50967,286951,4.29
1792212,0.7,1.6,0,1263458,251809,100067,44114,132761,4.38
1498979,0.8,1.5,0,1185864,112435,46330,23783,130564,4.47
1487569,0.1,0.2,0,1080016,109806,68325,41191,188229,4.25
1476587,0.3,0.7,0,1103596,155813,83125,33116,100935,4.44
1395163,0.6,1.4,0,1051216,176597,80629,28236,58482,4.53
1235181,1.1,2.2,0,914805,201226,77522,14075,27551,4.59
1002202,0.2,0.6,0,648706,60221,44110,37068,212095,3.89
907446,0.9,1.7,0,658045,149715,51754,13672,34257,4.52
811503,2,4.8,0,664863,75609,26264,10717,34047,4.63
748641,0.1,0.2,0,555658,100193,37189,15356,40242,4.49
747773,0.7,1.5,0,525806,87637,42055,19254,73019,4.3
656331,0.7,1.4,0,454055,93991,47200,19253,41830,4.37
638226,0.9,1.7,0,467998,104943,37982,7955,19345,4.56
605951,0.9,1.4,0,415148,72947,38437,19398,60018,4.26
583401,0,0.1,0,380202,79680,41608,16803,65105,4.19
553700,0.4,1,0,460009,43505,14664,7387,28133,4.63
544602,0,0.1,0,392347,100886,26522,5634,19210,4.55
490612,0.2,0.5,0,341161,68553,31256,15138,34501,4.36
477941,0.7,1.6,0,374056,56431,20691,7809,18953,4.59
466565,1.2,2.1,0,361433,47345,27520,8884,21381,4.54
454806,0,0,0,367099,33299,22236,6989,25181,4.56
427360,0.4,1,0,295449,50195,34082,13142,34489,4.31
419956,0.4,0.8,0,298409,43575,25216,10824,41930,4.3
417288,0.6,1.1,0,286103,55598,25042,14793,35750,4.3
402257,0,0,0,304175,52497,17452,6363,21768,4.52
401779,0,0,0,280763,56584,27307,9045,28077,4.38
393594,0.1,0.2,0,309026,26528,16903,8426,32708,4.45
393075,1.4,3.1,0,269406,48602,28089,10022,36953,4.28
383237,1.1,2.7,0,280190,46244,20966,9989,25846,4.42
374996,0.4,0.8,0,257625,46217,23064,11368,36720,4.27
367139,0.1,0.7,0,278020,55733,18514,4394,10475,4.6
346951,0.9,1.8,0,245762,46592,21632,9772,23191,4.39
326484,1,2.1,0,288491,16223,6933,3226,11608,4.74
323374,1.6,3.6,0,238209,24271,13368,8406,39117,4.28
316657,0.2,0.5,0,218480,35402,19799,10788,32186,4.25
316103,0.1,0.2,0,252622,34018,12642,4267,12552,4.61
302091,1,2.3,0,246164,13179,6380,3768,32598,4.45
289796,0.5,1.3,0,206958,29858,13254,4898,34826,4.27
289540,4.2,10.1,0,224239,35562,14838,4456,10442,4.58
272210,6.9,16.5,0,237403,17220,6387,2523,8674,4.73
266239,1.5,3.2,0,194536,29405,12872,5600,23824,4.37
261649,0.5,1.3,0,187296,36299,18329,5050,14673,4.44
261231,1.1,2.5,0,216166,23601,8677,2869,9916,4.66
257230,3.2,9.2,0,196111,31580,12390,3736,13411,4.53
251504,0.6,2.1,0,185875,25178,9258,3404,27786,4.34
232488,7.2,15,0,157836,31045,19231,7211,17162,4.31
226544,5.4,13.7,0,193676,7889,5233,3657,16086,4.59
210708,0.1,0.3,0,160491,22448,10939,3583,13245,4.49
209875,1.3,2.7,0,166629,16366,6522,3341,17015,4.49
208792,1.2,2.3,0,150606,20686,11351,5321,20826,4.32
206933,1.2,2.6,0,171828,18260,7274,2634,6935,4.67
206831,0.3,0.5,0,146519,19097,7418,4029,29765,4.2
206215,0.3,0.6,0,188876,7861,3876,1265,4334,4.82
203456,0.2,0.5,0,147321,26969,13889,3751,11524,4.45
196421,0.6,1.1,0,168530,8722,4938,2379,11849,4.63
189667,0,0,0,127862,19866,11819,6229,23889,4.17
181512,0.5,1,0,140249,20511,10115,3618,7016,4.56
176968,0.8,1.6,0,136961,21328,8019,2828,7830,4.56
175464,1.2,2.9,0,137808,11815,5198,3418,17223,4.42
174429,0.8,2.1,0,152778,8558,3497,1713,7881,4.7
173372,0,48.1,0,126641,21236,10953,4057,10483,4.44
171067,0.4,0.9,0,105459,26234,13027,4149,22195,4.1
169473,0.3,0.6,0,144188,10372,4778,2160,7973,4.66
169398,1.4,3.1,0,118927,19216,10587,5279,15387,4.3
167140,1.5,3.2,0,119330,18420,8458,3905,17025,4.31
154097,0,0,0,119094,21254,7367,2113,4266,4.61
146419,0.1,0.1,0,84888,14103,13243,5677,28506,3.83
146033,0.1,0.7,0,97688,16991,8575,3408,19369,4.17
145246,0.3,0.3,0,87790,17576,12977,5672,21228,4
141373,18.4,36.9,0,83170,26080,14386,5285,12449,4.15
138603,1.3,2.9,0,93435,7709,4657,2652,30147,3.95
137907,0.6,1.6,0,125159,5459,2319,1049,3919,4.79
137620,0,0,0,93065,17190,6716,3857,16790,4.21
135368,0.1,0.3,0,99806,11947,6958,2839,13816,4.34
133125,3.2,7.7,0,98052,19039,8788,2448,4797,4.53
132533,1.9,4.4,0,98883,18304,8323,2473,4548,4.54
131637,0,0,0,85194,22081,10690,4120,9550,4.29
125668,0,0.1,0,88624,15623,6562,2768,12088,4.32
125267,0.2,0.3,0,91547,14749,7199,3289,8479,4.42
120559,1.1,2.4,0,109036,5206,2358,939,3017,4.79
119265,4.2,9,0,98550,10041,4162,1667,4843,4.64
116799,0,0,0,103602,5880,2003,797,4515,4.74
116702,1.4,2.6,0,100686,7277,4447,1508,2780,4.73
116519,0.1,0.1,0,93670,13377,3196,1618,4655,4.63
115882,0.8,1.4,0,89246,15887,5739,1709,3299,4.61
112924,99.1,5.1,0,97965,5893,3021,1465,4577,4.69
107239,0.1,0.3,0,79670,14806,3721,2015,7024,4.47
106532,0.5,0.8,0,84301,6325,3801,2773,9329,4.44
106217,8.4,19.6,0,75028,8589,4447,3118,15033,4.18
103281,0,0,0,78185,10290,5224,1978,7602,4.45
102726,6.1,14.2,0,93248,4887,1510,764,2314,4.81
102312,0,0,0,76788,11130,5196,2333,6862,4.45
100896,0.3,0.5,0,72149,11548,3639,1749,11808,4.29
100545,5.4,18.4,0,80849,10063,4315,1343,3972,4.62
99440,0,0,0,71902,12048,6509,2569,6409,4.41
98839,0.2,0.3,0,78485,14278,3377,739,1958,4.69
95001,3.1,7.8,0,85841,3886,2085,855,2331,4.79
94585,0.1,0.2,0,48360,8091,7458,4906,25768,3.51
94310,0.2,0.3,0,78573,7148,2949,1389,4249,4.64
30859251,0.7,1.6,0,23521533,4128497,1484852,457810,1266557,4.56
16715691,0.3,0.6,0,12245585,1517427,845986,445084,1661606,4.33
12866276,0.7,1.5,0,9026260,1080309,639206,393974,1726524,4.19
11955303,0.2,0.5,0,8872129,1242739,602283,298057,940093,4.41
11449723,0.3,0.5,0,8147778,1063304,691763,335246,1211630,4.28
10647190,0.1,0.1,0,7892782,1106289,539035,232383,876698,4.4
10561106,1,2.5,0,7477650,1401119,583497,252414,846424,4.36
9950630,1.7,3.9,0,6974932,1342886,575548,244526,812736,4.35
9014495,0.5,1.1,0,7016344,1171316,426099,123431,277303,4.61
8202126,0.5,1,0,5628046,953132,466013,246865,908068,4.24
8005959,0.5,1.1,0,5985441,1147501,417925,126849,328241,4.54
6886372,0.5,1.1,0,5078987,736172,336369,159939,574903,4.39
5667376,0.5,1.2,0,4013034,704002,310467,146199,493671,4.34
5482333,3.3,8.1,0,4000193,562618,270061,119111,530347,4.35
4112331,0.7,1.5,0,3192359,423771,197104,83197,215897,4.53
4073314,0.1,0.2,0,2656080,485913,255723,140120,535476,4.13
3980631,0.1,0.1,0,2565110,391807,250411,132185,641116,4.03
3465392,0.1,0.2,0,2718524,398371,151104,54872,142518,4.59
3452778,2.2,5.2,0,2533867,280936,162604,106373,368995,4.3
2963865,2.3,5.1,0,2284162,274676,110460,52183,242381,4.45
2951211,0.1,0.1,0,2181705,442742,186683,45095,94983,4.55
2899465,0.3,0.7,0,1990779,407736,193279,85960,221709,4.33
2229993,0.7,1.4,0,1441613,187503,140242,98837,361797,4.01
2108014,1.3,3,0,1472413,289634,137654,57338,150972,4.36
2069636,0.5,1,0,1639502,251483,72474,30765,75410,4.62
1997711,0.1,0.3,0,1672089,178085,53931,21287,72317,4.68
1897418,0,0.1,0,1399020,245726,111900,40021,100748,4.48
1779823,0.1,0.2,0,1265899,194458,107736,45362,166366,4.32
1675066,6.7,15.3,0,1259998,126168,73134,47983,167780,4.35
1656109,0.8,2.1,0,1248261,240440,82183,26117,59105,4.57
1614657,0.3,0.6,0,1195262,134471,76803,43785,164334,4.33
1427317,0.1,0.3,0,1050004,141321,63912,32915,139163,4.35
1427170,0.2,0.4,0,980502,145735,80907,46068,173955,4.2
1404198,4,8.8,0,979410,153452,101560,47772,122001,4.3
1377520,0,0.1,0,984008,256191,76884,15668,44766,4.54
1322600,0.2,0.5,0,954263,190627,81072,27703,68933,4.46
1217145,0,0.1,0,882652,199954,79809,18828,35899,4.54
1130457,466.9,0.5,0,818274,186770,70036,19493,35881,4.53
1112763,0.9,2,0,794537,95246,60467,38517,123994,4.26
1099414,0,0.1,0,812935,144103,64586,23149,54639,4.49
1079008,7.1,15.2,0,841957,112388,42627,17815,64217,4.53
1004386,0.3,0.6,0,781989,107458,46194,17055,51687,4.54
943921,0.1,0.2,0,690404,101286,60344,21720,70165,4.4
940123,0.1,0.2,0,729621,81455,45412,19479,64153,4.48
939058,3.3,8.2,0,650256,69216,30950,19507,169127,4.08
932651,0.5,1.3,0,670484,97397,56072,26616,82079,4.34
928240,1.5,3.4,0,559592,79195,64593,50536,174321,3.86
917760,0.4,0.8,0,567205,114605,76366,38368,121214,4.05
873956,0.4,1.1,0,565464,120707,68900,31812,87070,4.2
872342,0.2,0.4,0,586328,90434,60186,27623,107769,4.17
866289,2.8,6,0,613728,112173,52293,24120,63971,4.37
857288,1.4,2.7,0,604830,114918,54305,22889,60343,4.38
817547,2,5.3,0,641650,61957,31403,19369,63166,4.47
780001,0,0,0,509966,143137,66340,22393,38164,4.36
773004,0.3,0.6,0,526515,85256,54547,29018,77666,4.23
770105,0.7,1.9,0,678632,38323,15403,7327,30417,4.72
758992,9.6,18.3,0,561217,87868,50523,17397,41984,4.46
748407,0.2,0.5,0,413732,146967,64962,33766,88977,4.02
711848,0.1,0.2,0,516082,90645,43043,17297,44779,4.43
685607,0,0,0,553124,94327,21235,5076,11842,4.71
678631,0,0.1,0,431803,90825,55961,24391,75649,4.15
668040,0.2,0.3,0,493581,81642,38377,15600,38837,4.46
665015,0,0.1,0,484377,78121,35161,17295,50058,4.4
661798,2,3.9,0,442539,74732,49536,24389,70599,4.2
656887,0.2,0.4,0,451989,82929,43740,19634,58593,4.29
655267,0,0,0,497926,57351,30178,13556,56253,4.41
645655,0.3,0.6,0,466872,78013,34252,16911,49605,4.39
640188,0.9,2,0,440544,54234,38730,25077,81600,4.17
627413,0,0.2,0,455933,74231,44239,16811,36197,4.43
621375,1.1,2.5,0,433969,70396,36180,18379,62448,4.28
609454,1.5,3.1,0,427796,46115,30763,21759,83018,4.17
603317,0,0.1,0,462873,58916,33280,11739,36507,4.49
601798,0,0.1,0,458456,64170,35837,11033,32300,4.5
568109,0.2,0.4,0,445665,65483,25062,9553,22344,4.59
567244,0.1,0.2,0,364422,55155,39091,19680,88892,4.03
566659,2.6,5,0,421578,54023,26027,15201,49828,4.38
563579,0.5,1,0,393198,118361,23060,7866,21091,4.52
539116,0.2,0.4,0,390341,49797,35313,15723,47939,4.33
534809,0.6,1.3,0,387570,84706,31210,10583,20737,4.51
529462,0.2,0.4,0,391151,63222,33625,11914,29547,4.46
527049,1453.5,0,0,332843,78343,48456,16871,50534,4.19
518539,0.3,0.8,0,329067,64499,41717,21493,61760,4.11
513638,0.6,1.1,0,364260,52175,34067,17048,46086,4.31
509978,0.4,0.9,0,352612,64166,35874,15964,41359,4.32
509978,0.4,0.9,0,335314,60059,31369,14339,40569,4.32
501409,1,2.9,0,331666,74775,48400,15714,30851,4.32
497474,0,0,0,220936,146987,82298,15011,32240,4.02
495203,6.1,14.8,0,385434,18363,10571,9044,71789,4.29
492929,6.2,14.2,0,316922,73052,39159,18277,45516,4.21
481652,0.7,1.5,0,352612,64166,35874,15964,41359,4.32
481652,0.7,1.5,0,335314,60059,31369,14339,40569,4.32
475062,0.1,0.2,0,334739,45217,31281,13596,50226,4.26
474984,0.2,0.3,0,355913,44709,26473,11737,36151,4.42
468960,0,0.1,0,348423,68635,30331,5305,16264,4.55
461259,0,0,0,305532,62585,38610,15910,38620,4.26
458061,0.1,0.2,0,279121,72996,41816,20633,43494,4.14
455889,0.6,1.3,0,272847,45974,33678,22449,80938,3.89
455667,0.3,0.6,0,334313,41595,24035,13331,42391,4.34
444030,0,0,0,226402,43479,36352,17761,120033,3.54
439524,0.4,0.7,0,259645,61407,38524,19077,60868,4
437733,3.9,8.2,0,295802,35475,23095,15168,68191,4.09
429996,0.1,0.2,0,310114,47203,25825,10204,36649,4.36
1513301,1,2.2,0,1014871,167033,100228,57066,174100,4.18
1320352,13,35.1,0,939834,153976,73728,36267,116544,4.34
749260,0.6,1.7,0,555043,65904,40083,22812,65416,4.36
571326,0,0,0,395439,71626,37915,15445,50899,4.3
515555,0.4,0.9,0,328964,67727,36670,19022,63170,4.13
433892,4.3,10.2,0,310372,35284,21160,15650,51424,4.24
331474,0.5,1.1,0,222142,37937,21468,13408,36517,4.19
284554,2.8,5.9,0,211215,18039,11619,9565,34114,4.27
201369,2.8,5.8,0,135299,15707,11313,8966,30082,4.08
197882,1555.5,4.2,0,126824,18698,12183,9423,30752,4.02
192063,4.1,8.7,0,144208,14142,7921,5555,20234,4.34
188835,4.4,9.2,0,144308,15516,8064,4787,16158,4.41
185203,0,0,0,129717,16472,12731,5767,20513,4.24
184654,11.9,25.3,0,145021,10174,6530,4728,18198,4.4
181190,3.4,6.4,0,124157,14444,9288,7722,25576,4.13
166562,2.7,6,0,126840,10536,6749,5238,17196,4.35
158043,1.2,2.4,0,110431,11763,7798,6690,21359,4.16
156922,0.6,1.5,0,148058,6185,1428,369,879,4.91
153210,3.9,9.1,0,108230,14172,8237,5200,17368,4.24
152278,15.9,52.4,0,119489,8873,5583,4753,13578,4.42
146510,4.2,9.8,0,96771,12289,8166,6309,22972,4.05
142956,3.3,7.8,0,105098,8693,6007,4956,18200,4.24
140760,4.6,11.1,0,106728,8162,5557,4901,15410,4.32
136091,2.9,6.6,0,93045,10292,7361,6377,19014,4.12
135195,1.9,4,0,100721,8668,6348,4759,14697,4.3
135159,0.1,0.2,0,103440,13930,7255,2758,7774,4.5
133569,5.8,11.5,0,90218,10730,7013,5814,19792,4.09
132466,4.5,11.4,0,101940,20340,5445,1284,3454,4.63
128305,2.2,4.8,0,92392,8105,5231,4236,18339,4.18
124307,6.3,13.3,0,83409,12126,7707,5369,15693,4.14
123643,2.4,5.2,0,93467,8256,5015,3819,13083,4.34
121408,12.4,27.4,0,91132,9175,5426,3481,12191,4.35
119793,3703,3.9,0,88505,5954,5186,3600,16546,4.22
119198,4,8.9,0,85935,7902,5490,4424,15445,4.21
117044,4.9,10.2,0,77434,10918,12773,4076,11841,4.18
106097,0,0,0,76034,12775,7076,2185,8024,4.38
106082,5,11.4,0,72267,8218,4609,3628,17358,4.08
106059,0.7,1.3,0,75230,19812,5497,1769,3748,4.52
103238,0,0,0,74370,10963,5881,2037,9985,4.33
97463,3.1,6.8,0,85024,4446,1678,949,5365,4.67
96204,3.5,6.7,0,72413,13229,4889,1527,4145,4.54
92826,50.7,0,0,76045,6405,3335,1345,5694,4.57
90592,0.1,0.2,0,55785,8711,7402,4195,14495,3.96
90035,2.5,4.3,0,69615,5547,4057,2558,8255,4.4
89642,0,0.1,0,55931,7417,5634,4400,16257,3.92
85076,3.4,7,0,64689,9702,3577,1883,5223,4.49
83307,1.8,4.5,0,59048,7047,4001,3195,10013,4.22
81405,6.5,14.3,0,57877,5764,3843,3146,10773,4.19
81072,3.1,6.5,0,62452,5173,3495,2423,7527,4.39
81037,1.8,4.2,0,56822,5443,3957,3389,11424,4.15
80715,0.9,2.5,0,70467,6072,1658,719,1797,4.77
79162,13.1,38.3,0,67538,7310,1610,605,2098,4.74
78072,2.4,5,0,58938,5015,3207,2387,8522,4.33
77905,0.2,0.3,0,42599,14699,9073,3327,8204,4.03
75816,0.6,1.3,0,46408,6512,5453,4195,13245,3.91
75574,0,0.1,0,45294,6858,6029,3703,13687,3.88
75365,2.9,5.5,0,48466,6017,4752,3586,12542,3.99
75306,0.1,0.2,0,53460,7275,6406,2105,6057,4.33
75151,0.1,0.1,0,54461,6396,4837,1809,7646,4.31
74296,5.2,14,0,53487,5184,3436,3128,9058,4.22
72914,0.3,0.7,0,43203,15449,6521,2386,5352,4.22
70153,0.5,1.3,0,53978,4210,2339,1672,7952,4.35
68459,8.4,19.5,0,37348,6888,5883,4611,13727,3.72
68341,0.8,1.6,0,51490,4766,2881,2054,7149,4.34
67370,0.6,1.4,0,50050,6981,3036,1697,5603,4.4
65335,0.3,0.5,0,35732,7790,5700,3820,12290,3.78
64791,2.5,5.1,0,44440,5887,3528,2528,8406,4.16
63527,2.4,5.4,0,43289,5877,3420,2356,8582,4.15
62539,0,0.1,0,50570,5095,2667,959,3246,4.58
62200,202.9,0,0,40010,6526,5667,2778,7216,4.11
62109,0.6,1.4,0,41722,5593,3605,2247,8939,4.11
61992,1.6,3.4,0,54610,4331,1182,397,1470,4.78
61666,0.2,0.3,0,43238,5403,3316,2017,7690,4.21
61624,3.9,8.1,0,37561,5193,4132,3230,11506,3.88
61196,1.2,2.6,0,44376,5622,3274,1691,6230,4.31
57996,26.8,605.1,0,40743,4476,2753,2578,7444,4.18
57843,6.6,17.2,0,35613,4938,4467,3839,8984,3.94
57740,7.5,16.5,0,43385,3427,2792,1884,6249,4.31
57615,0,0,0,39247,5534,3978,1944,6910,4.18
57158,3.1,7.3,0,42791,3636,2486,2021,6222,4.31
56088,0.1,0.1,0,37761,6032,3705,1937,6651,4.18
55852,0.9,2.1,0,38852,3756,2630,2152,8460,4.12
55043,1.2,2.6,0,41292,2977,2368,2008,6395,4.29
54895,4.4,10.9,0,36679,4541,3064,2330,8279,4.07
53661,0.7,1.6,0,40785,2714,1789,1620,6751,4.29
52947,5.6,12.3,0,32205,6155,4399,3142,7043,4.01
52165,2.4,5.1,0,36434,3309,2352,2173,7895,4.12
51577,0.1,0.4,0,41757,5069,1859,579,2309,4.62
51147,3.9,9,0,36374,4253,2676,1576,6265,4.23
50859,4.5,8.3,0,44723,4611,707,288,527,4.82
50523,5.6,13.6,0,28316,4216,3837,3368,10784,3.71
50320,4130.4,8.1,0,36062,3285,2489,1961,6521,4.2
50087,0.5,0.9,0,37257,6717,2401,932,2778,4.49
49846,4.9,9.5,0,33433,5470,2999,2092,5849,4.17
49415,0,0,0,31361,10000,4066,1049,2937,4.33
49288,0,0,0,30717,4685,4345,2307,7232,4
49223,14.1,103.9,0,34402,4107,2829,1980,5902,4.2
48792,4.9,11.4,0,36202,3349,2282,1525,5432,4.3
48762,3.2,7.3,0,33603,3485,2838,2051,6782,4.13
48699,0.1,0.2,0,33325,3995,3406,1638,6333,4.16
2280709,4,9.3,0,1657744,206783,119112,70162,226906,4.31
2246262,3.1,6.6,0,1508894,209730,143330,85550,298755,4.13
1353138,0.3,0.7,0,1089404,129231,50394,21723,62384,4.6
1272670,0.4,0.9,0,856088,112720,67624,35566,200669,4.09
1083655,0.5,1.2,0,636480,121675,81459,52725,191313,3.89
660119,0.2,0.5,0,494049,66399,35831,17337,46499,4.43
639715,0,0.1,0,417024,83532,63936,16283,58937,4.22
636362,2.7,7.5,0,413438,64995,42566,27709,87651,4.08
604697,0.4,0.9,0,345647,57138,43941,24981,132988,3.76
570211,0.1,0.2,0,463716,47774,17694,9966,31059,4.58
551373,0.1,0.3,0,460854,43281,16062,7751,23423,4.65
403138,0,0,0,278623,59735,23680,12184,28913,4.36
374680,4.4,9.5,0,278773,34133,16966,10812,33993,4.37
374105,2.1,4.9,0,275763,36288,19470,10782,31799,4.37
372544,0,0,0,225397,54149,37918,16849,38228,4.1
362215,0.2,0.9,0,292934,20624,13557,7187,27911,4.5
299581,3.2,6.7,0,193501,41592,23143,11373,29971,4.19
282811,3,7,0,214693,24606,14314,7400,21795,4.42
264177,1.9,5.8,0,227601,14388,6639,3279,12268,4.67
251604,0.6,1.2,0,141255,21716,15483,8830,64319,3.66
239614,0,0,0,135664,33533,30275,10115,30025,3.98
238331,0.4,1,0,161608,25222,17428,9167,24904,4.21
235158,0.7,1.6,0,146292,36227,18243,8414,25980,4.14
229838,0.1,0.3,0,150988,15398,10974,6830,45646,3.95
216204,0.7,1.7,0,141765,22948,14150,9437,27901,4.12
208037,0,0.1,0,125227,30694,21789,7716,22608,4.1
198615,0.9,1.7,0,133295,24059,12299,6858,22102,4.21
189141,0,0.3,0,144623,14306,8681,4575,16953,4.4
165807,0.2,0.5,0,90329,17684,12946,9136,35708,3.71
159233,2.1,5.1,0,102229,15653,10302,6655,24391,4.03
157011,1,2.3,0,112496,21245,9078,3736,10453,4.41
150967,0,0,0,103071,19294,9930,4126,14543,4.27
149646,0,0,0,85791,23965,13835,7282,18770,4.01
138467,0.2,0.5,0,96074,12564,7795,5416,16616,4.2
138031,0.2,0.6,0,74593,19075,13053,8279,23030,3.83
129382,0.5,1.1,0,101443,13994,5559,2315,6068,4.56
127075,19.5,69.3,0,98709,9621,5679,3233,9831,4.45
126028,0.8,1.3,0,88931,16859,7224,3347,9665,4.37
125890,4.8,10.9,0,79805,10312,8930,6098,20743,3.97
123392,0.9,2.4,0,74005,13612,10826,6381,18566,3.96
117454,3.5,8.8,0,89710,10233,5935,2948,8625,4.44
116128,36,0,0,97822,11107,3910,1236,2050,4.73
112497,1.1,2.6,0,75413,10457,6898,4794,14933,4.13
