total ratings,growth (30 days),growth (60 days),price,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,average rating
801878,0.3,0.7,0,509210,119257,67002,29864,76543,4.19
799803,0,0,0,487636,76830,33821,18264,183249,3.83
798738,0.1,0.1,0,565576,79649,51686,22644,79179,4.29
798721,0.8,1.5,0,530371,103622,49763,25205,89758,4.2
778052,4.7,10.2,0,490242,81135,53964,31174,121535,4.01
776957,2.5,5.2,0,521328,70548,45060,25717,114300,4.11
20649769,4.2,8.4,0,16057759,1836135,753095,369209,1633569,4.47
14401261,0.7,1.2,0,9302104,1728142,885234,460683,2025096,4.1
4262608,0.1,0.3,0,3262514,444508,216484,91657,247443,4.5
2554945,0,0,0,1728847,325007,199467,74666,226955,4.27
2183778,2.1,5.5,0,1621294,298511,115105,44583,104283,4.51
2078790,0,0,0,1165956,247588,221278,104808,339157,3.86
2046025,12.5,23.9,0,1506076,161775,81970,52906,243296,4.29
1914819,2.3,6.6,0,1416003,148554,76942,43991,229326,4.29
1582368,0.1,0.2,0,1212289,175725,73532,29091,91730,4.51
1432424,0.1,0.2,0,947480,176433,110609,52804,145096,4.21
1342587,9.5,21.6,0,1055821,123264,50086,24569,88845,4.51
1279506,0.1,0.3,0,933667,117128,62485,30153,136071,4.31
1276224,0.1,0.3,0,990679,103781,57414,27458,96889,4.46
1161941,0.1,0.3,0,850589,129736,74870,25709,81035,4.41
1094556,0.1,0.2,0,755487,138999,70609,31379,98079,4.3
1062176,0.3,0.6,0,662101,230824,100375,26908,41965,4.36
1007655,0,0,0,588610,125854,79653,49039,164496,3.92
1006633,0.8,1.2,0,535514,74798,73000,51802,271516,3.55
891343,0.1,0.2,0,530828,215417,102430,19425,23240,4.36
803896,1.4,3.5,0,480374,154636,79120,35336,54427,4.21
798250,358.4,4.7,0,550170,144254,38618,17042,48164,4.42
753183,0,0,0,584387,93065,41439,10187,24103,4.6
730263,0.4,0.9,0,550358,77217,36272,16713,49701,4.45
720821,0.5,1.1,0,592379,55914,24658,10735,37133,4.6
675179,0.1,0.3,0,525957,54369,28324,14037,52489,4.46
654364,1,1.9,0,487793,64046,32508,16549,53467,4.4
634709,0.2,0.4,0,334924,57204,45952,32698,163929,3.58
617412,3,6.9,0,386395,66048,42074,23449,99444,4
597627,2.5,5.3,0,451959,56568,25606,14326,49165,4.42
545364,0.1,0.2,0,370907,60083,36938,18369,59064,4.22
530531,2.3,5.1,0,360272,45518,26510,18330,79898,4.11
528493,0.3,0.7,0,369221,92285,27535,11146,28304,4.44
526011,0.5,1,0,260354,40125,34962,24636,165933,3.39
521392,1.1,2.4,0,368121,67896,28777,14238,42356,4.35
520995,3.2,8.4,0,337935,61651,34116,20254,67036,4.12
519820,0.7,1.4,0,323970,98744,43406,18725,34973,4.27
491712,0.4,1,0,364394,72835,28682,8182,17617,4.54
487043,0.6,1.3,0,309857,48747,32454,19174,76808,4.02
479435,2.7,5.9,0,343892,101188,16455,5893,12005,4.58
478211,1.8,3.7,0,329088,77605,26994,11507,33013,4.38
463875,1.6,3.3,0,358740,46434,20075,9268,29354,4.5
436080,0.7,1.8,0,331200,55837,18479,7625,22936,4.52
434987,0,0,0,282326,58228,28844,13307,52280,4.16
426482,0.3,0.7,0,188123,53049,33512,26380,125415,3.36
416848,3.2,6.8,0,295844,39500,23056,13057,45388,4.27
389233,0.7,1.5,0,255521,57215,27828,14099,34568,4.25
367520,0.8,1.4,0,203815,85332,52161,12160,14049,4.23
342591,0.7,1.6,0,210465,36063,26030,15179,54852,3.97
337032,1.1,2.4,0,205418,36118,25297,16075,54122,3.96
328964,0.3,0.7,0,229461,63849,23818,4647,7186,4.53
324834,0.2,0.5,0,237449,24504,15570,9174,38135,4.27
323953,4,9.4,0,229877,47360,19377,7512,19824,4.42
320368,0.2,0.3,0,205171,43727,24752,13226,33490,4.17
317546,1,2.3,4.99,264563,24837,10184,4387,13572,4.65
316853,0.2,0.3,0,255161,21673,12879,5855,21283,4.53
316647,0,0.1,0,237365,31303,17404,8412,22160,4.43
316364,0,0,0,260935,25389,11899,4699,13439,4.63
313922,0.4,0.7,0,150171,48370,29450,20523,65406,3.63
308061,0.4,0.7,0,217484,24614,16712,9290,39958,4.2
303491,0.6,1.2,0,205958,60257,18268,6767,12238,4.45
302428,20.8,69,0,219395,47068,18287,5861,11814,4.51
302308,0,0.1,0,209903,34354,20106,11108,26835,4.29
286528,5.9,13.8,0,199804,36026,19176,8902,22618,4.33
273036,0.7,1.6,0,199015,36646,16646,6507,14218,4.46
272140,4.8,10.8,0,179442,22213,13724,10519,46239,4.02
272066,2558.2,12.7,0,181050,24590,17104,10342,38978,4.1
271446,4.7,9.7,0,205096,19718,12804,7352,26474,4.36
269698,0,0.1,0,199868,27382,19150,5624,17672,4.43
256133,0.7,1.6,0,159901,44646,18605,8182,24797,4.2
255190,0,0,0,160537,59045,24428,4079,7099,4.42
252579,16,39.7,0,183569,23789,10768,6393,28057,4.3
244086,1,2.5,0,152013,20903,14875,10206,46086,3.91
243187,0.7,1.2,0,157652,34365,18567,10269,22332,4.21
239690,0.5,1.2,0,172113,25782,14154,7012,20627,4.34
235665,0.3,0.8,0,139937,50806,29770,6835,8314,4.3
235645,0.3,0.7,0,177063,28537,13355,4930,11758,4.5
235280,0.2,0.4,0,180021,22471,10386,5427,16973,4.46
234999,0,0.1,0,179842,25379,13194,3868,12714,4.51
231968,2.7,6.5,0,162130,18965,11582,7008,32282,4.17
229193,0.6,1.7,0,138146,29200,15234,9094,37516,3.97
227666,0.1,0.3,0,138400,23863,18402,10703,36295,3.95
220028,0,0.1,0,157365,29152,14581,4277,14651,4.41
215484,1.6,3.3,0,158241,19243,10203,5946,21848,4.33
214252,2.9,6,0,145750,16991,12760,8788,29960,4.12
211749,0.1,0.2,0,119993,23498,18989,9269,39997,3.82
209977,0.8,1.8,0,147758,34367,15514,4221,8115,4.47
208707,9.4,24.3,0,140853,15894,11192,9186,31580,4.08
198684,3.3,6.3,0,133728,29804,12492,6151,16507,4.3
195093,0.2,0.6,0,98565,18794,18944,9746,49042,3.55
194323,1.3,2.8,0,150446,19496,8073,3976,12329,4.5
186843,2.3,4.3,0,133402,18770,10413,5673,18581,4.3
184346,5.4,18.3,0,142535,8350,6434,4587,22437,4.32
183775,0.1,0.3,0,126910,17057,11464,6311,22030,4.2
181950,2.3,4.8,0,147853,22052,7044,1945,3053,4.7
180214,1.2,5,0,132974,25480,9471,3989,8297,4.5
177399,0.5,1,0,140060,19349,7801,3140,7046,4.59
174459,2.2,4.6,0,115451,35716,15616,3101,4572,4.46
173518,0.2,0.5,0,103163,29913,14632,6981,18826,4.1
170530,0.7,1.6,0,110047,17316,9570,6629,26966,4.04
169716,3.3,7.4,0,111103,13416,9395,6867,28932,4.01
35305263,0.5,1.1,0,26840330,3377645,1618461,801027,2667798,4.44
7141044,0.5,0.9,0,5171922,791394,403206,189389,585131,4.37
6894310,0.4,0.8,0,4760684,819476,429111,182500,702537,4.27
5855907,0.4,0.9,0,4238921,620119,344542,159661,492662,4.36
5683301,0,0,0,4258293,633610,317140,102645,371610,4.46
5347039,0.2,0.3,0,3739784,586703,353955,147112,519483,4.29
5324391,0.7,1.5,0,4215861,540051,215404,87304,265769,4.57
4908222,0.1,0.2,0,3674764,565801,269632,91959,306063,4.47
4744985,0.6,1.3,0,3113811,440122,318588,203728,668734,4.08
4570599,0.2,0.4,0,3383684,557498,256899,93076,279439,4.46
4509959,0.6,1.4,0,3162077,535233,288165,140773,383708,4.32
3999232,1.4,2.8,7.49,3214765,312995,138682,70661,262126,4.54
3380525,0.3,0.6,0,2400095,353590,200706,94884,331247,4.3
3195259,1.5,3.2,0,2320047,273118,150510,92447,359134,4.28
2871537,0,0,0,1804118,477658,288402,88729,212627,4.24
2292938,1334.9,2.9,0,1761515,198335,91692,49180,192215,4.43
2074061,2,4.3,0,1446547,184093,111238,69112,263070,4.2
2059766,3.9,8.9,0,1350585,180474,112837,75158,340709,4.03
2025748,1.4,3.2,0,1648386,172565,73905,33852,97037,4.6
1935595,1.4,3,0,1496625,169241,88411,44145,137170,4.47
1900342,3.9,8.6,0,1494493,136585,64484,35327,169450,4.45
1896448,0.6,1.9,0,1116247,240664,151166,86215,302154,3.94
1892426,0.2,0.5,0,1507018,177392,71510,30681,105821,4.56
1810956,0.8,1.5,0,1357022,198527,92350,42783,120271,4.45
1790671,0.1,0.2,0,1173378,202700,146513,58481,209596,4.16
1722543,0.3,0.7,0,1299263,184269,91635,32702,114671,4.46
1679883,0,0,0,1243088,203499,96034,40038,97223,4.46
1580856,0,0,0,944862,181766,136424,69131,248670,3.95
1542149,0.9,2.3,0,1053541,154097,93873,56003,184632,4.19
1453883,0.2,0.4,0,1012546,179911,87761,37253,136410,4.3
1422370,1.9,3.9,0,934698,134776,88203,55939,208751,4.08
1324747,0.4,1,0,701113,166187,145938,82759,228748,3.78
1307348,21.6,67.5,0,828213,138318,112202,56796,171818,4.07
1266480,2.7,5.6,0,956576,113172,55695,30242,110792,4.4
1254488,0.2,0.3,0,921296,142403,80546,32192,78048,4.43
1213324,0.1,0.2,0,913605,102146,67172,27563,102835,4.4
1205183,0,0.1,0,770908,126156,97219,38195,172701,4.07
1184991,0.2,0.3,0,774924,93335,67591,42018,207121,4
1148773,0.2,0.5,0,769162,151810,83475,36388,107936,4.25
1135652,0,0.1,0,793834,207268,80919,13969,39659,4.5
1131106,0.1,0.2,0,830403,135199,64265,23174,78062,4.43
1092786,0.6,1.6,0,677916,137400,76010,45664,155793,4.04
1080391,0.4,0.7,0,744528,117072,73852,36326,108610,4.25
1067930,0.6,1.3,0,790448,85451,53289,32351,106389,4.33
1062728,0.9,2.1,0,619359,142736,94505,49800,156326,3.96
1053975,1.3,2.7,0,804810,81852,47679,27860,91772,4.4
1045888,0.9,2,0,707099,115037,66960,33899,122890,4.19
1038482,3.5,6.1,0,852131,89639,32908,14214,49587,4.62
1035091,0.2,0.4,0,771054,104754,59370,24069,75842,4.42
1022586,0.8,1.8,0,739849,113379,57603,24568,87183,4.36
978941,0.6,1.2,0,737202,83699,47744,26834,83459,4.39
930780,1.4,2.6,0,661142,90062,59535,31155,88884,4.29
924263,0.1,0.2,0,670950,107406,61188,20349,64368,4.41
870863,0.8,2.3,0,650474,86021,42019,19410,72938,4.4
853988,0.3,0.5,0,513457,98544,66342,39913,135730,3.95
836895,4.2,8.7,0,559097,81673,57819,34553,103751,4.14
828194,8,18.1,0,641630,57704,32799,20129,75929,4.41
